附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
管理平台(巡查项目) ||| 内容 ||| 无系统漏洞(内容)
管理平台(巡查项目) ||| 内容 ||| 应用数据运行稳定(内容)
服务器(巡查项目) ||| 内容 ||| 滤网清洁无积灰(内容)
接地电阻(巡查项目) ||| 巡查内容 ||| 符合工程设计要求(内容)
接地电阻(巡查项目) ||| 内容 ||| 符合工程设计要求(内容)
摄像机(巡查项目) ||| 内容 ||| 设备整洁无积尘(内容)
服务器(巡查项目) ||| 内容 ||| 风扇及滤网清洁无积灰(内容)
接地电阻(巡查项目) ||| 内容 ||| 符合工程设计要求(内容)
无线AP(巡查项目) ||| 内容 ||| 外观无破损(内容)
系统反映情况正常(内容) ||| 巡检方法 ||| 测试(巡检方法)
备用电压正常(内容) ||| 巡检方法 ||| 测试(巡检方法)
接通状态(内容) ||| 巡检方法 ||| 测试(巡检方法)
闭门器功能正常(内容) ||| 巡检方法 ||| 测试(巡检方法)
外观无破损(内容) ||| 巡检方法 ||| 测试(巡检方法)
主机工作无异常(内容) ||| 巡检方法 ||| 测试(巡检方法)
外观无破损(内容) ||| 巡检方法 ||| 测试(巡检方法)
外观无破损(内容) ||| 巡检方法 ||| 测试(巡检方法)
无病毒感染(内容) ||| 巡检方法 ||| 测试(巡检方法)
无系统漏洞(内容) ||| 巡检方法 ||| 测试(巡检方法)
运行稳定(内容) ||| 巡检方法 ||| 测试(巡检方法)
无损坏(内容) ||| 巡检方法 ||| 利用视频管理软件功能测试(巡检方法)
录像功能功能正常(内容) ||| 巡检方法 ||| 利用视频管理软件功能测试(巡检方法)
通信软件系统(系统) ||| 巡查项目 ||| 安全防范系统(巡查项目)
监控与报警系统(系统) ||| 巡查项目 ||| 通信系统(巡查项目)
通信软件系统(系统) ||| 巡查项目 ||| 通信系统(巡查项目)
环境与设备监控(巡查项目) ||| 巡查子项目 ||| 服务器(巡查项目)
环境与设备监控(巡查项目) ||| 巡查子项目 ||| 管理平台(巡查项目)
通信系统(巡查项目) ||| 巡查子项目 ||| 接地电阻(巡查项目)
通信系统(巡查项目) ||| 巡查子项目 ||| 光纤电话(巡查项目)
机房环境(巡查项目) ||| 内容 ||| 整洁无积灰(内容)
机房环境(巡查项目) ||| 内容 ||| 风扇无积尘(内容)
服务器(巡查项目) ||| 内容 ||| 外设接口完好(内容)
服务器(巡查项目) ||| 内容 ||| 风扇无积灰(内容)
接地电阻(巡查项目) ||| 内容 ||| 符合工程设计要求(内容)
管理平台(巡查项目) ||| 内容 ||| 运行稳定(内容)
管理平台(巡查项目) ||| 内容 ||| 无病毒感染(内容)
管理平台(巡查项目) ||| 内容 ||| 数据库业务数据运行稳定(内容)
管理平台(巡查项目) ||| 内容 ||| 数据需备份(内容)
服务器(巡查项目) ||| 内容 ||| 硬盘空间利用率不大于70%(内容)
服务器(巡查项目) ||| 内容 ||| 风扇无积灰(内容)
摄像机(巡查项目) ||| 内容 ||| 镜头整洁无积尘(内容)
视频软件(巡查项目) ||| 内容 ||| 清晰度满足视频监控要求(内容)
无线AP(巡查项目) ||| 内容 ||| 工作状态无异常(内容)
摄像机(巡查项目) ||| 内容 ||| 安装牢固(内容)
摄像机(巡查项目) ||| 内容 ||| 工作状态无异常(内容)
视频软件(巡查项目) ||| 内容 ||| 录像功能功能正常(内容)
视频软件(巡查项目) ||| 内容 ||| 无损坏(内容)
视频软件(巡查项目) ||| 内容 ||| 灰度满足视频监控要求(内容)
服务器(巡查项目) ||| 内容 ||| 外设接口完好(内容)
服务器(巡查项目) ||| 内容 ||| 硬盘空间利用率不大于70%(内容)
光纤电话(巡查项目) ||| 内容 ||| 外观无破损(内容)
光纤电话(巡查项目) ||| 内容 ||| 主机工作无异常(内容)
信号覆盖器(巡查项目) ||| 内容 ||| 外观无破损(内容)
蓄电池电压满足功能要求(内容) ||| 巡检方法 ||| 万用表测量(巡检方法)
蓄电池容量满足功能要求(内容) ||| 巡检方法 ||| 万用表测量(巡检方法)
符合工程设计要求(内容) ||| 巡检方法 ||| 接地电阻测试仪测试(巡检方法)
符合工程设计要求(内容) ||| 巡检方法 ||| 接地电阻测试仪测试(巡检方法)
符合工程设计要求(内容) ||| 巡检方法 ||| 接地电阻测试仪测试(巡检方法)
数据需备份(内容) ||| 巡检方法 ||| 检查数据备份记录及备份日志(巡检方法)
应用数据运行稳定(内容) ||| 巡检方法 ||| 检查数据备份记录及备份日志(巡检方法)
系统数据运行稳定(内容) ||| 巡检方法 ||| 检查数据备份记录及备份日志(巡检方法)
数据库业务数据运行稳定(内容) ||| 巡检方法 ||| 检查数据备份记录及备份日志(巡检方法)
操作系统运行稳定(内容) ||| 巡检方法 ||| 检查数据备份记录及备份日志(巡检方法)
附属设施(巡查项目) ||| 巡查子项目 ||| 消防系统(系统)
综合管廊(巡查项目) ||| 巡查子项目 ||| 消防系统(系统)
防火分隔(巡查项目) ||| 巡查子项目 ||| 防火门(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 火灾探测器(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 火灾报警功能(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 显示功能(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 火灾显示盘(巡查项目)
灭火器(巡查项目) ||| 巡查子项目 ||| 数量(巡查项目)
光纤电话(巡查项目) ||| 内容 ||| 分机工作无异常(内容)
信号覆盖器(巡查项目) ||| 内容 ||| 工作状态无异常(内容)
空气质量(内容) ||| 需要 ||| 设备运行要求(内容)
湿度(内容) ||| 需要 ||| 设备运行要求(内容)
温度(内容) ||| 需要 ||| 设备运行要求(内容)
阀门(巡查项目) ||| 巡查内容 ||| 开启应正常(内容)
照明灯具(巡查项目) ||| 巡查内容 ||| 接地可靠(内容)
配电箱(巡查项目) ||| 巡查内容 ||| 接地可靠(内容)
管件(巡查项目) ||| 巡查内容 ||| 接地可靠(内容)
管道(巡查项目) ||| 巡查内容 ||| 接地可靠(内容)
安全管理(内容) ||| 需要 ||| 符合国家现行标准《城镇燃气设施运行、维护和检修安全技术规程》CJJ 51(内容)
运行维护(内容) ||| 需要 ||| 符合国家现行标准《城镇燃气设施运行、维护和检修安全技术规程》CJJ 51(内容)
运行维护(内容) ||| 需要 ||| 《城镇燃气管网泄漏检测技术规程》CJJ/T 215(内容)
安全管理(内容) ||| 需要 ||| 《城镇燃气管网泄漏检测技术规程》CJJ/T 215(内容)
电缆(巡查项目) ||| 巡查内容 ||| 出线部位(内容)
防火分隔(巡查项目) ||| 巡查内容 ||| 封堵(内容)
封堵(内容) ||| 需要 ||| 严密完好(内容)
设备(巡查项目) ||| 巡查内容 ||| 正常工作(内容)
施工(内容) ||| 需要 ||| 符合各管线相应的国家现行标准的有关规定(内容)
设计(内容) ||| 需要 ||| 符合各管线相应的国家现行标准的有关规定(内容)
施工(内容) ||| 需要 ||| 符合现行国家标准《城市地下综合管廊工程技术规范》GB 50838(内容)
设计(内容) ||| 需要 ||| 符合现行国家标准《城市地下综合管廊工程技术规范》GB 50838(内容)
相关技术(内容) ||| 需要 ||| 标准(内容)
人工疏导(内容) ||| 需要 ||| 引导进入安全区域或撤离现场(内容)
确认内部水位和压力(内容) ||| 维护方法 ||| 采取防污水外溢措施(维护方法)
标识系统(巡查项目) ||| 巡查内容 ||| 维护方法(内容)
维护方法(内容) ||| 巡查方法 ||| 每日检查(巡查方法)
结构主体(巡查项目) ||| 巡查子项目 ||| 综合管廊承重结构(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 防火分隔(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 防火分隔(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 防排烟系统(巡查项目)
管线工井(巡查项目) ||| 巡查子项目 ||| 结构(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 结构(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 火灾自动报警系统(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 火灾自动报警系统(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 灭火器(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 消防专用电话(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 应急广播系统(巡查项目)
消防系统(系统) ||| 巡查项目 ||| 高压细水雾系统(巡查项目)
防排烟系统(巡查项目) ||| 巡查子项目 ||| 开闭情况(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 自检功能(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 计时功能(巡查项目)
中间接头(巡查项目) ||| 巡查子项目 ||| 外观(巡查项目)
灭火器(巡查项目) ||| 巡查子项目 ||| 外观(巡查项目)
管线(巡查项目) ||| 巡查子项目 ||| 压力表(巡查项目)
灭火器(巡查项目) ||| 巡查子项目 ||| 压力表(巡查项目)
灭火器(巡查项目) ||| 巡查子项目 ||| 设置位置(巡查项目)
消防专用电话(巡查项目) ||| 巡查子项目 ||| 分机(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 系统控制面板(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 室温(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 系统组件(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 系统所有控制阀门(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 储水箱(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 喷头(巡查项目)
灭火器(巡查项目) ||| 巡查子项目 ||| 维修指示(巡查项目)
消防专用电话(巡查项目) ||| 巡查子项目 ||| 主机(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 控制阀(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 水源(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 过滤器(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 控制阀后管道(巡查项目)
井内壁装饰层(巡查项目) ||| 巡查内容 ||| 无脱落(内容)
消防指示标识(巡查项目) ||| 巡查内容 ||| 无脱落(内容)
固定设施(巡查项目) ||| 巡查内容 ||| 无脱落(内容)
衬垫(巡查项目) ||| 巡查内容 ||| 无脱落(内容)
固定设施(内容) ||| 需要 ||| 无脱落(内容)
消防指示标志(巡查项目) ||| 巡查内容 ||| 无脱落(内容)
防火门(巡查项目) ||| 内容 ||| 无脱落(内容)
防火门(巡查项目) ||| 内容 ||| 无歪斜(内容)
转轴(巡查项目) ||| 内容 ||| 顺畅(内容)
铰链(巡查项目) ||| 内容 ||| 顺畅(内容)
通风口(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
吊装口(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
逃生口(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
人员出入口(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
栏杆(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
爬梯(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
楼梯(巡查项目) ||| 巡查内容 ||| 功能正常(内容)
手动报警按钮(巡查项目) ||| 内容 ||| 功能正常(内容)
手动报警按钮(巡查项目) ||| 内容 ||| 能手动复位(内容)
计时功能(巡查项目) ||| 内容 ||| 主备电源切换正常(内容)
显示功能(巡查项目) ||| 内容 ||| 主备电源切换正常(内容)
自检功能(巡查项目) ||| 内容 ||| 主备电源切换正常(内容)
故障报警功能(巡查项目) ||| 内容 ||| 主备电源切换正常(内容)
火灾报警功能(巡查项目) ||| 内容 ||| 主备电源切换正常(内容)
火灾显示盘(巡查项目) ||| 内容 ||| 符合现行《火灾显示盘》GB17429的规定(内容)
设置位置(巡查项目) ||| 内容 ||| 位置正确(内容)
主机(巡查项目) ||| 内容 ||| 断线(内容)
主机(巡查项目) ||| 内容 ||| 通话无杂音(内容)
分机(巡查项目) ||| 内容 ||| 无断线(内容)
控制阀(巡查项目) ||| 内容 ||| 外观完好及工作状态正常(内容)
系统标识(巡查项目) ||| 内容 ||| 标识清晰(内容)
分区控制阀(巡查项目) ||| 内容 ||| 动作正常(内容)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 泄放试验阀(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 支吊架及连接件(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 储水箱(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 系统模拟联动功能试验(巡查项目)
防火门(巡查项目) ||| 内容 ||| 密封良好(内容)
通风口(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
吊装口(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
逃生口(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
人员出入口(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
栏杆(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
爬梯(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
楼梯(巡查项目) ||| 巡查内容 ||| 外观完整(内容)
防火阀(巡查项目) ||| 内容 ||| 外观完整(内容)
开闭情况(巡查项目) ||| 内容 ||| 开闭正常(内容)
火灾探测器(巡查项目) ||| 内容 ||| 功能正常(内容)
计时功能(巡查项目) ||| 内容 ||| 符合现行《火灾报警控制器》GB4717(内容)
显示功能(巡查项目) ||| 内容 ||| 符合现行《火灾报警控制器》GB4717(内容)
自检功能(巡查项目) ||| 内容 ||| 符合现行《火灾报警控制器》GB4717(内容)
故障报警功能(巡查项目) ||| 内容 ||| 符合现行《火灾报警控制器》GB4717(内容)
火灾报警功能(巡查项目) ||| 内容 ||| 符合现行《火灾报警控制器》GB4717(内容)
外观(巡查项目) ||| 内容 ||| 外观完整(内容)
维修指示(巡查项目) ||| 内容 ||| 指示读数正确(内容)
压力表(巡查项目) ||| 内容 ||| 指示读数正确(内容)
主机(巡查项目) ||| 内容 ||| 无破损(内容)
主机(巡查项目) ||| 内容 ||| 通话清晰(内容)
分机(巡查项目) ||| 内容 ||| 无破损(内容)
分机(巡查项目) ||| 内容 ||| 通话清晰(内容)
扬声器(巡查项目) ||| 内容 ||| 无破损(内容)
主备电压(巡查项目) ||| 内容 ||| 备用电压正常(内容)
井内壁装饰层(巡查项目) ||| 巡查内容 ||| 完整(内容)
技术档案(内容) ||| 需要 ||| 完整(内容)
提供的信息(内容) ||| 需要 ||| 完整(内容)
阴极保护系统(巡查项目) ||| 巡查内容 ||| 完整(内容)
系统标识(巡查项目) ||| 内容 ||| 完整(内容)
扬声器(巡查项目) ||| 内容 ||| 播放正常(内容)
主备电压(巡查项目) ||| 内容 ||| 接通状态(内容)
系统控制面板(巡查项目) ||| 内容 ||| 控制面板显示正常(内容)
室温(巡查项目) ||| 内容 ||| 不低于5℃(内容)
系统所有控制阀门(巡查项目) ||| 内容 ||| 阀门位置正常(内容)
储水箱(巡查项目) ||| 内容 ||| 水位情况良好(内容)
防排烟系统(巡查项目) ||| 巡查子项目 ||| 防火阀(巡查项目)
防排烟系统(巡查项目) ||| 巡查子项目 ||| 铰链(巡查项目)
防排烟系统(巡查项目) ||| 巡查子项目 ||| 转轴(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 手动报警按钮(巡查项目)
火灾自动报警系统(巡查项目) ||| 巡查子项目 ||| 故障报警功能(巡查项目)
应急广播系统(巡查项目) ||| 巡查子项目 ||| 扬声器(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 主备电压(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 系统标识(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 分区控制阀(巡查项目)
高压细水雾系统(巡查项目) ||| 巡查子项目 ||| 试水阀(巡查项目)
防火门(巡查项目) ||| 内容 ||| 闭门器功能正常(内容)
防火阀(巡查项目) ||| 内容 ||| 工作状态正常(内容)
数量(巡查项目) ||| 内容 ||| 数量符合要求(内容)
分机(巡查项目) ||| 内容 ||| 无插孔(内容)
分机(巡查项目) ||| 内容 ||| 无破损(内容)
分机(巡查项目) ||| 内容 ||| 通话无杂音(内容)
喷头(巡查项目) ||| 内容 ||| 外观情况正常(内容)
支吊架及连接件(巡查项目) ||| 内容 ||| 外观无破损(内容)
管道(巡查项目) ||| 内容 ||| 外观无破损(内容)
能手动复位(内容) ||| 巡检方法 ||| 与报警系统联动测试(巡检方法)
功能正常(内容) ||| 巡检方法 ||| 与报警系统联动测试(巡检方法)
符合现行《火灾显示盘》GB17429的规定(内容) ||| 巡检方法 ||| 观察，测试(巡检方法)
动作正常(内容) ||| 巡检方法 ||| 手动(巡检方法)
动作正常(内容) ||| 巡检方法 ||| 电动测试(巡检方法)
供水能力正常(内容) ||| 巡检方法 ||| 补水试验(巡检方法)
综合管廊(巡查项目) ||| 巡查子项目 ||| 照明系统(巡查项目)
附属设施(巡查项目) ||| 巡查子项目 ||| 照明系统(巡查项目)
供电及照明系统(系统) ||| 巡查项目 ||| 照明系统(巡查项目)
结构主体(巡查项目) ||| 巡查子项目 ||| 混凝土管段(巡查项目)
管廊本体结构(系统) ||| 巡查项目 ||| 混凝土管段(巡查项目)
结构(巡查项目) ||| 巡查子项目 ||| 变形缝(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 变形缝(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 管线引入处(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 管线引入处(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 预留孔(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 预留孔(巡查项目)
管道附属设施(巡查项目) ||| 巡查子项目 ||| 支墩(巡查项目)
管道(巡查项目) ||| 巡查子项目 ||| 支墩(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 支墩(巡查项目)
综合管廊本体(巡查项目) ||| 巡查子项目 ||| 逃生口(巡查项目)
构筑物(巡查项目) ||| 巡查子项目 ||| 逃生口(巡查项目)
管廊构筑物(巡查项目) ||| 巡查子项目 ||| 逃生口(巡查项目)
管廊本体(巡查项目) ||| 巡查子项目 ||| 逃生口(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 逃生口(巡查项目)
混凝土管段(巡查项目) ||| 巡查子项目 ||| 进（排）风口(巡查项目)
结构(巡查项目) ||| 内容 ||| 无变形(内容)
结构(巡查项目) ||| 内容 ||| 无渗漏(内容)
结构(巡查项目) ||| 内容 ||| 无漏筋(内容)
变形缝(巡查项目) ||| 巡查子项目 ||| 止水带(巡查项目)
管线引入处(巡查项目) ||| 内容 ||| 无变形(内容)
配电房(巡查项目) ||| 巡查子项目 ||| 配电站房周边(巡查项目)
保养(维护方法) ||| 需要 ||| 仪器(巡查项目)
维修(维护方法) ||| 需要 ||| 仪器(巡查项目)
配电房(巡查项目) ||| 巡查子项目 ||| 仪器(巡查项目)
变压器(巡查项目) ||| 巡查子项目 ||| 运行状态(巡查项目)
变压器(巡查项目) ||| 巡查子项目 ||| 继电保护(巡查项目)
变压器(巡查项目) ||| 巡查子项目 ||| 固定接头(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 继电器(巡查项目)
系统组件(巡查项目) ||| 内容 ||| 外观正常(内容)
系统所有控制阀门(巡查项目) ||| 内容 ||| 铅封情况正常(内容)
喷头(巡查项目) ||| 内容 ||| 无破损(内容)
支吊架及连接件(巡查项目) ||| 内容 ||| 安装牢固(内容)
管道(巡查项目) ||| 内容 ||| 安装牢固(内容)
远程环境监测系统(巡查项目) ||| 巡查内容 ||| 廊内环境参数(内容)
廊内环境参数(内容) ||| 包含 ||| 氧含量(内容)
廊内环境参数(内容) ||| 包含 ||| 有毒有害和易燃易爆气体(内容)
有毒有害和易燃易爆气体(内容) ||| 包含 ||| H2S(内容)
有毒有害和易燃易爆气体(内容) ||| 包含 ||| CH4(内容)
其他入廊管线安全信息(内容) ||| 需要 ||| 功能应正常(内容)
统计分析(内容) ||| 需要 ||| 功能应正常(内容)
运行故障(内容) ||| 需要 ||| 功能应正常(内容)
工作状态(内容) ||| 需要 ||| 功能应正常(内容)
显示相关联动信息(内容) ||| 需要 ||| 功能应正常(内容)
记录报警处理过程(巡查项目) ||| 巡查内容 ||| 功能应正常(内容)
处理报警事件(巡查项目) ||| 巡查内容 ||| 功能应正常(内容)
管线(巡查项目) ||| 巡查内容 ||| 报废(内容)
储水箱(巡查项目) ||| 内容 ||| 外观无破损(内容)
试水阀(巡查项目) ||| 内容 ||| 储水箱补水情况良好(内容)
喷头(巡查项目) ||| 内容 ||| 无异物堵塞(内容)
泄放试验阀(巡查项目) ||| 内容 ||| 系统反映情况正常(内容)
水源(巡查项目) ||| 内容 ||| 供水能力正常(内容)
控制阀后管道(巡查项目) ||| 内容 ||| 吹扫(内容)
功能正常(内容) ||| 巡检方法 ||| 采用试验烟气和热源等进行与报警系统进行联动测试(巡检方法)
清洗(内容) ||| 巡检方法 ||| 清洗(巡检方法)
无异常气味及声音(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
温度指示值正常(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
完整(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
标识清晰(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
控制面板显示正常(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
备用电压正常(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
接通状态(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
外观完好及工作状态正常(内容) ||| 巡检周期 ||| 1次/日(巡检周期)
供电及照明系统(系统) ||| 巡查项目 ||| 配电房(巡查项目)
供配电设备(巡查项目) ||| 巡查子项目 ||| 变压器(巡查项目)
供电及照明系统(系统) ||| 巡查项目 ||| 变压器(巡查项目)
供电及照明系统(系统) ||| 巡查项目 ||| 沟道及桥架(巡查项目)
保养(维护方法) ||| 需要 ||| 电气箱柜(巡查项目)
维修(维护方法) ||| 需要 ||| 电气箱柜(巡查项目)
配电房(巡查项目) ||| 巡查子项目 ||| 电气箱柜(巡查项目)
变压器(巡查项目) ||| 巡查子项目 ||| 温度指示(巡查项目)
变压器(巡查项目) ||| 巡查子项目 ||| 变压器风机(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 配电屏(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 控制回路(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 指示灯(巡查项目)
保养(维护方法) ||| 需要 ||| 电容器(巡查项目)
维修(维护方法) ||| 需要 ||| 电容器(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 电容器(巡查项目)
沟道及桥架(巡查项目) ||| 巡查子项目 ||| 沟道盖板(巡查项目)
管道(巡查项目) ||| 内容 ||| 清洗(内容)
过滤器(巡查项目) ||| 内容 ||| 清洗(内容)
储水箱(巡查项目) ||| 内容 ||| 清洗(内容)
系统模拟联动功能试验(巡查项目) ||| 内容 ||| 联动功能正常(内容)
主备电源切换正常(内容) ||| 巡检方法 ||| 联动测试(巡检方法)
符合现行《火灾报警控制器》GB4717(内容) ||| 巡检方法 ||| 联动测试(巡检方法)
播放正常(内容) ||| 巡检方法 ||| 调试(巡检方法)
无破损(内容) ||| 巡检方法 ||| 调试(巡检方法)
通话无杂音(内容) ||| 巡检方法 ||| 调试(巡检方法)
通话清晰(内容) ||| 巡检方法 ||| 调试(巡检方法)
无破损(内容) ||| 巡检方法 ||| 调试(巡检方法)
无插孔(内容) ||| 巡检方法 ||| 调试(巡检方法)
无断线(内容) ||| 巡检方法 ||| 调试(巡检方法)
无破损(内容) ||| 巡检方法 ||| 调试(巡检方法)
通话无杂音(内容) ||| 巡检方法 ||| 调试(巡检方法)
通话清晰(内容) ||| 巡检方法 ||| 调试(巡检方法)
断线(内容) ||| 巡检方法 ||| 调试(巡检方法)
无破损(内容) ||| 巡检方法 ||| 调试(巡检方法)
储水箱补水情况良好(内容) ||| 巡检方法 ||| 放水测试(巡检方法)
吹扫(内容) ||| 巡检方法 ||| 吹扫(巡检方法)
联动功能正常(内容) ||| 巡检方法 ||| 试验(巡检方法)
不低于5℃(内容) ||| 巡检周期 ||| 1次/日(冬季)(巡检周期)
供电及照明系统(系统) ||| 巡查项目 ||| 低压配电柜(巡查项目)
配电房(巡查项目) ||| 巡查子项目 ||| 配电站房内部(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 电器仪表(巡查项目)
日常保洁(巡查项目) ||| 巡查内容 ||| 整洁(内容)
配电站房内部(巡查项目) ||| 内容 ||| 整洁(内容)
配电站房内部(巡查项目) ||| 内容 ||| 内部灯光正常(内容)
配电站房内部(巡查项目) ||| 内容 ||| 自然通风良好(内容)
变压器风机(巡查项目) ||| 内容 ||| 运行正常(内容)
固定接头(巡查项目) ||| 内容 ||| 无松动(内容)
内、外机(巡查项目) ||| 巡查内容 ||| 外表清洁(内容)
电器仪表(巡查项目) ||| 内容 ||| 外表清洁(内容)
电器仪表(巡查项目) ||| 内容 ||| 固定可靠(内容)
闸刀开关(巡查项目) ||| 内容 ||| 外表清洁(内容)
断路器(巡查项目) ||| 内容 ||| 外表清洁(内容)
交流接触器(巡查项目) ||| 内容 ||| 外表清洁(内容)
继电器(巡查项目) ||| 内容 ||| 外表清洁(内容)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 交流接触器(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 断路器(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 闸刀开关(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 按钮转换开关(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 母线排(巡查项目)
低压配电柜(巡查项目) ||| 巡查子项目 ||| 柜体(巡查项目)
沟道及桥架(巡查项目) ||| 巡查子项目 ||| 电缆桥架(巡查项目)
照明系统(巡查项目) ||| 巡查子项目 ||| 控制功能(巡查项目)
照明系统(巡查项目) ||| 巡查子项目 ||| 灯具及防护罩(巡查项目)
照明系统(巡查项目) ||| 巡查子项目 ||| 后备电池(巡查项目)
井(巡查项目) ||| 巡查内容 ||| 无积水(内容)
管路(巡查项目) ||| 巡查内容 ||| 无积水(内容)
配电站房内部(巡查项目) ||| 内容 ||| 无积水(内容)
阀门处(巡查项目) ||| 巡查内容 ||| 无漏水(内容)
接口处(巡查项目) ||| 巡查内容 ||| 无漏水(内容)
配电站房内部(巡查项目) ||| 内容 ||| 无漏水(内容)
配电站房内部(巡查项目) ||| 内容 ||| 无渗水(内容)
配电站房周边(巡查项目) ||| 内容 ||| 无易燃易爆物品(内容)
仪器(巡查项目) ||| 内容 ||| 保持整洁(内容)
电气箱柜(巡查项目) ||| 内容 ||| 保持整洁(内容)
运行状态(巡查项目) ||| 内容 ||| 无异常气味及声音(内容)
应急逃生照明设备(巡查项目) ||| 巡查内容 ||| 工作正常(内容)
安全疏散照明设备(巡查项目) ||| 巡查内容 ||| 工作正常(内容)
应急照明设备(巡查项目) ||| 巡查内容 ||| 工作正常(内容)
常用照明设备(巡查项目) ||| 巡查内容 ||| 工作正常(内容)
继电保护(巡查项目) ||| 内容 ||| 工作正常(内容)
配电屏(巡查项目) ||| 内容 ||| 保持清洁(内容)
系统(巡查项目) ||| 巡查内容 ||| 显示正常(内容)
电器仪表(巡查项目) ||| 内容 ||| 显示正常(内容)
闸刀开关(巡查项目) ||| 内容 ||| 触点完好(内容)
断路器(巡查项目) ||| 内容 ||| 触点完好(内容)
